"symbol","N","Z","alpha_0(BG)","alpha_0(TS)","C6(BG)","C6(TS)","R_vdw(TS)","alpha_0(TSsurf)","C6(TSsurf)","R_vdw(TSsurf)"
"H",1,1,4.499159818,4.5,6.51,6.5,3.1,,,
"He",2,2,1.37993307,1.38,1.47,1.46,2.65,,,
"Li",3,3,164.1439712,164.2,1408,1387,4.16,,,
"Be",4,4,37.70852738,38,214,214,4.17,,,
"B",5,5,20.50267245,21,99.2,99.5,3.89,,,
"C",6,6,11.69938074,12,47.9,46.6,3.59,,,
"N",7,7,7.250524608,7.4,25.7,24.2,3.34,,,
"O",8,8,5.200326538,5.4,16.7,15.6,3.19,,,
"F",9,9,3.599962152,3.8,10.2,9.52,3.04,,,
"Ne",10,10,2.670134809,2.67,6.91,6.38,2.91,,,
"Na",11,11,163.0799998,162.7,1566,1556,3.73,,,
"Mg",12,12,71.43368109,71,629,627,4.27,,,
"Al",13,13,57.4926251,60,520,528,4.33,,,
"Si",14,14,37.01100017,37,308,305,4.2,,,
"P",15,15,24.79491273,25,187,185,4.01,,,
"S",16,16,19.4960936,19.6,140,134,3.86,,,
"Cl",17,17,14.69834031,15,97.1,94.6,3.71,,,
"Ar",18,18,11.09879641,11.1,67.4,64.3,3.55,,,
"K",19,19,290.2526211,292.9,3914,3897,3.71,,,
"Ca",20,20,159.5002782,160,2232,2221,4.65,,,
"Sc",21,21,122.9784535,120,1570,1383,4.59,,,
"Ti",22,22,101.9788541,98,1203,1044,4.51,,,
"V",23,23,87.31457082,84,955,832,4.44,,,
"Cr",24,24,78.44649963,78,709,602,3.99,,,
"Mn",25,25,66.82774146,63,635,552,3.97,,,
"Fe",26,26,60.41581308,56,548,482,4.23,,,
"Co",27,27,53.87415085,50,461,408,4.18,,,
"Ni",28,28,48.40652007,48,393,373,3.82,10.22,59.2,2.28
"Cu",29,29,41.67940517,42,264,253,3.76,10.88,58.9,2.4
"Zn",30,30,38.41133802,40,276,284,4.02,13.77,46,2.82
"Ga",31,31,52.08089707,60,456,498,4.19,,,
"Ge",32,32,40.19767312,41,365,354,4.2,,,
"As",33,33,29.59404038,29,260,246,4.11,,,
"Se",34,34,26.19618104,25,233,210,4.04,,,
"Br",35,35,21.60106584,20,187,162,3.93,,,
"Kr",36,36,16.7989966,16.8,136,129.6,3.82,,,
"Rb",37,37,317.4857877,319.2,4660,4691,3.72,,,
"Sr",38,38,198.0042878,199,3230,3170,4.54,,,
"Y",39,39,162.9383628,126.737,2599,1968.58,4.8151,,,
"Zr",40,40,112.0178139,119.97,1362,1677.91,4.53,,,
"Nb",41,41,97.928823,101.603,1144,1263.61,4.2365,,,
"Mo",42,42,87.10249487,88.4225785,1025,1028.73,4.099,,,
"Tc",43,43,79.63861636,80.083,939,1390.87,4.076,,,
"Ru",44,44,72.25208659,65.895,809,609.754,3.9953,,,
"Rh",45,45,66.41596018,56.1,708,469,3.95,,,
"Pd",46,46,61.68403238,23.68,628,157.5,3.66,13.9,102,3.06
"Ag",47,47,46.19229333,50.6,341,339,3.82,15.36,122,2.57
"Cd",48,48,46.71360184,39.7,405,452,3.99,,,
"In",49,49,62.10788008,70.22,643,707.046,4.23198,,,
"Sn",50,50,60.01786626,55.95,715,587.417,4.303,,,
"Sb",51,51,43.99780575,43.67197,504,459.322,4.276,,,
"Te",52,52,39.99474791,37.65,471,396,4.22,,,
"I",53,53,33.60483879,35,389,385,4.17,,,
"Xe",54,54,27.20458594,27.3,302,285.9,4.08,,,
"Cs",55,55,396.4571942,427.12,6657,6582.08,3.78,,,
"Ba",56,56,278.2640843,275,5543,5727,4.77,,,
"La",57,57,213.7804816,213.7,3729,3884.5,3.14,,,
"Ce",58,58,204.7268724,204.7,3480,3708.33,3.26,,,
"Pr",59,59,215.8958619,215.8,3760,3911.84,3.28,,,
"Nd",60,60,208.5599042,208.4,3561,3908.75,3.3,,,
"Pm",61,61,200.0841878,200.2,3338,3847.68,3.27,,,
"Sm",62,62,192.1202919,192.1,3134,3708.69,3.32,,,
"Eu",63,63,184.3285631,184.2,2938,3511.71,3.4,,,
"Gd",64,64,158.3310057,158.3,2336,2781.53,3.62,,,
"Tb",65,65,169.6318399,169.5,2587,3124.41,3.42,,,
"Dy",66,66,162.7849843,164.64,2429,2984.29,3.26,,,
"Ho",67,67,156.3457996,156.3,2283,2839.95,3.24,,,
"Er",68,68,150.2764821,150.2,2148,2724.12,3.3,,,
"Tm",69,69,144.3274459,144.3,2019,2576.78,3.26,,,
"Yb",70,70,138.950199,138.9,1905,2387.53,3.22,,,
"Lu",71,71,137.1348638,137.2,2022,2371.8,3.2,,,
"Hf",72,72,83.74205207,99.52,1036,1274.8,4.21,,,
"Ta",73,73,73.85518664,82.53,887,1019.92,4.15,,,
"W",74,74,65.8469926,71.041,757,847.93,4.08,,,
"Re",75,75,60.24080474,63.04,663,710.2,4.02,,,
"Os",76,76,55.27611138,55.055,584,596.67,3.84,,,
"Ir",77,77,51.3298598,42.51,522,359.1,4,,,
"Pt",78,78,48.03425579,39.68,470,347.1,3.92,14.45,120.5,2.8
"Au",79,79,45.36805397,36.5,427,298,3.86,15.62,133.9,2.91
"Hg",80,80,33.50610759,33.9,268,392,3.98,,,
"Tl",81,81,51.38892299,69.92,509,717.44,3.91,,,
"Pb",82,82,47.91416332,61.8,534,697,4.31,,,
"Bi",83,83,43.18768656,49.02,513,571,4.32,,,
"Po",84,84,36.1057933,45.013,424,530.92,4.097,,,
"At",85,85,30.41486867,38.93,351,457.53,4.07,,,
"Rn",86,86,32.20383261,33.54,408,390.63,4.23,,,
